frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
1716,1624181269.857476234,1624181269.957273006,1721,1720,0,1,1,1,1,-72.655045194,-4.124553114,-25.176406463,0.043085068,-0.024676252,0.083945952,0.995232554,1415,375,0.265017668,0.304154310,0.251889772,0.168613462,0.360739560,122.632658888,1087,0.848641665,246.132464197,273.602949486,402.738075867,0.266817927,0.226432810,0,1.000000000,1.000000000,1.000000000,0.000003102,0.000010181,0.000016491,-0.171070521,0.144137146,0.974658586,0.000000006,0.000000006,0.000000008,0.982930052,0.164822980,-0.081742876,1.000000000,0.478854988,0.068587138,9.135841933,0.027141010,131.428631635,20,119,81,38,0.084098940,250,735,0,0,50,164,146,1150,281787,586321,305663,4,0,2375711
1717,1624181269.957473755,1624181270.057301760,1722,1721,0,1,1,1,1,-72.140270103,-3.843974399,-25.069007438,0.036730654,-0.025682470,0.085254911,0.995350627,1402,343,0.244650499,0.316726397,0.263134113,0.188809169,0.442174261,125.644081061,1021,0.839686112,240.552780446,249.962878076,366.803861415,0.280587080,0.235605074,0,1.000000000,1.000000000,1.000000000,0.000003307,0.000009805,0.000017569,-0.176451215,0.096453932,0.979572155,0.000000006,0.000000008,0.000000009,-0.691257785,-0.479927366,0.540215140,1.000000000,0.476459286,0.067113636,9.397356801,0.028327273,131.440203337,20,108,80,28,0.077032810,230,721,0,0,50,211,129,1165,281877,586429,306825,4,0,2375840
1718,1624181270.057471514,1624181270.157325268,1723,1722,0,1,1,1,1,-71.620081855,-3.633674734,-24.925689069,0.028990952,-0.027009998,0.085765321,0.995527144,1441,362,0.251214434,0.282206939,0.230703532,0.159340099,0.337165659,130.230854829,1013,0.844199080,219.477376329,276.073194163,359.623097263,0.256646556,0.216660786,0,1.000000000,1.000000000,1.000000000,0.000003213,0.000008805,0.000019144,0.168450444,-0.050172131,-0.984432428,0.000000006,0.000000007,0.000000013,0.804578054,0.593823170,-0.005310171,1.000000000,0.467682378,0.063765081,9.581478627,0.029475907,131.531262495,20,122,100,22,0.084663428,221,678,0,0,50,251,168,1151,281982,586551,307975,4,0,2376008
1719,1624181270.157469034,1624181270.257376909,1724,1723,0,1,1,1,1,-71.096513681,-3.409563802,-24.841209015,0.022940979,-0.027297640,0.085812883,0.995672988,1417,338,0.238532110,0.305436959,0.251510394,0.177957413,0.426985674,134.853626892,1019,0.836999842,221.503128286,266.827430313,364.572280181,0.259704996,0.217373041,0,1.000000000,1.000000000,1.000000000,0.000003322,0.000008785,0.000019979,0.152609964,-0.029259837,-0.987853259,0.000000006,0.000000008,0.000000008,-0.778704330,-0.588995763,0.216110059,1.000000000,0.464818269,0.063665475,9.798756206,0.029558267,131.665734742,20,113,81,32,0.079745942,228,689,0,0,50,246,141,1163,282075,586664,309138,4,0,2376149
1720,1624181270.257466555,1624181270.357365608,1725,1724,0,1,1,1,1,-70.626796353,-3.151729897,-24.729468757,0.018443506,-0.027971839,0.084122329,0.995891986,1424,358,0.251404494,0.312730277,0.278320509,0.184933147,0.394445968,152.916161738,1004,0.841138249,207.216706233,269.767619795,367.518475823,0.245371248,0.206391142,0,1.000000000,1.000000000,1.000000000,0.000003265,0.000008515,0.000021315,0.149164960,-0.056022979,-0.987224007,0.000000006,0.000000007,0.000000010,0.917387432,0.396214913,-0.037603762,1.000000000,0.456768843,0.063565944,9.994550507,0.031321821,132.883039847,20,103,73,30,0.072331461,238,651,0,0,50,262,169,1152,282160,586767,310289,4,0,2376318
1721,1624181270.357464075,1624181270.457313061,1726,1725,0,1,1,1,1,-70.172718821,-2.835716719,-24.538334515,0.021171877,-0.028205640,0.084962297,0.995759811,1476,406,0.275067751,0.298322125,0.229478696,0.154932191,0.452011097,149.079071919,1045,0.845901452,218.057836931,291.416193412,374.492987037,0.246680965,0.208667787,0,1.000000000,1.000000000,1.000000000,0.000003115,0.000007575,0.000020712,0.143403720,-0.073384746,-0.986939741,0.000000005,0.000000006,0.000000009,0.835534757,0.535691289,-0.122133181,1.000000000,0.451231680,0.062593366,10.173973756,0.031425087,133.074506730,20,120,90,30,0.081300813,255,647,0,0,50,269,182,1174,282258,586887,311460,4,0,2376500
1722,1624181270.457461596,1624181270.557364225,1727,1726,0,1,1,1,1,-69.693176234,-2.494124629,-24.301172722,0.020267918,-0.025378057,0.086189876,0.995749201,1494,396,0.265060241,0.286184853,0.230535712,0.156479077,0.443539827,162.879146937,1049,0.845266504,218.763951081,290.910017348,377.010594518,0.246721281,0.208545235,0,1.000000000,1.000000000,1.000000000,0.000003101,0.000007222,0.000021706,0.139120769,-0.066882954,-0.988014211,0.000000005,0.000000007,0.000000010,0.874875570,0.482106526,-0.046540678,1.000000000,0.451818070,0.064419568,10.362664915,0.032137204,134.367152324,20,116,97,19,0.077643909,248,644,0,0,50,280,205,1173,282353,587003,312632,4,0,2376705
1723,1624181270.557459116,1624181270.657363415,1728,1727,0,1,1,1,1,-69.219538771,-2.205463880,-24.076238823,0.021308889,-0.023321816,0.085584860,0.995829933,1467,399,0.271983640,0.284224393,0.219499417,0.151711859,0.401274513,164.071587520,1022,0.848146038,218.041308990,280.181997403,368.581944949,0.251545902,0.213347660,0,1.000000000,1.000000000,1.000000000,0.000003078,0.000006860,0.000022012,0.137443889,-0.085729628,-0.986792586,0.000000005,0.000000007,0.000000011,0.834506046,0.541549419,-0.101606521,1.000000000,0.448708611,0.065727692,10.535151795,0.032590796,135.948802774,20,118,99,19,0.080436264,253,643,0,0,50,266,187,1162,282449,587121,313794,4,0,2376892
1724,1624181270.657456875,1624181270.757385731,1729,1728,0,1,1,1,1,-68.706940189,-1.883108746,-23.893048789,0.021890836,-0.023098659,0.085417385,0.995836891,1378,385,0.279390421,0.280021710,0.243442687,0.159695661,0.315667795,141.948841611,966,0.844638310,209.926811534,254.509038288,351.484757303,0.257288282,0.217315540,0,1.000000000,1.000000000,1.000000000,0.000003114,0.000007109,0.000023029,0.138191232,-0.088377076,-0.986454599,0.000000005,0.000000007,0.000000013,0.793866756,0.604418884,-0.066733700,1.000000000,0.438886662,0.068023814,10.728365135,0.031439463,136.514082748,20,104,82,22,0.075471698,250,603,0,0,50,244,174,1100,282526,587225,314891,4,0,2377066
1725,1624181270.757454395,1624181270.857346296,1730,1729,0,1,1,1,1,-68.167347439,-1.627671786,-23.735794459,0.021885528,-0.020658208,0.085133225,0.995914954,1346,358,0.265973254,0.283528984,0.233953415,0.157609362,0.287985733,147.475125917,948,0.847307069,210.035143156,243.296156531,349.915802053,0.261482603,0.221556058,0,1.000000000,1.000000000,1.000000000,0.000003189,0.000007515,0.000025325,0.125161653,-0.095985881,-0.987482289,0.000000007,0.000000008,0.000000011,0.686072503,0.714472525,-0.137235315,1.000000000,0.429000744,0.069322793,10.880296856,0.031576104,137.439282740,20,104,84,20,0.077265973,210,604,0,0,50,247,179,1063,282610,587329,315952,4,0,2377245
1726,1624181270.857451916,1624181270.957287788,1731,1730,0,1,1,1,1,-67.668273641,-1.342756864,-23.597777021,0.022348480,-0.018092910,0.085577366,0.995916516,1382,392,0.283646889,0.299606854,0.238863913,0.179732342,0.279341529,145.674822891,980,0.861765652,218.469407404,261.919498105,364.141433485,0.258687459,0.222927967,0,1.000000000,1.000000000,1.000000000,0.000002985,0.000007071,0.000026336,0.114867176,-0.117729950,-0.986379841,0.000000006,0.000000007,0.000000013,0.752025323,0.655851134,-0.065705424,1.000000000,0.416771600,0.069522627,10.968441818,0.032356805,137.718203020,20,105,84,21,0.075976845,232,620,0,0,50,232,190,1087,282693,587434,317036,4,0,2377435
1727,1624181270.957449436,1624181271.057265282,1732,1731,0,1,1,1,1,-67.131676008,-1.148016486,-23.514077668,0.022287150,-0.019001514,0.085932397,0.995870397,1380,389,0.281884058,0.261019301,0.205788194,0.146962438,0.272695745,137.365721663,969,0.857357341,203.036227245,253.874917290,373.868119068,0.244392507,0.209531710,0,1.000000000,1.000000000,1.000000000,0.000003003,0.000006551,0.000026162,0.119441091,-0.121883235,-0.985331570,0.000000006,0.000000006,0.000000013,0.711710741,0.702466333,0.002978731,1.000000000,0.405863619,0.076108801,11.021248684,0.031848347,137.798072299,20,115,87,28,0.083333333,234,587,0,0,50,256,188,1077,282785,587549,318113,4,0,2377623
1728,1624181271.057446957,1624181271.157384396,1733,1732,0,1,1,1,1,-66.577899204,-0.976974466,-23.398135826,0.023185032,-0.016695446,0.084994457,0.995971716,1329,346,0.260346125,0.272563420,0.212180463,0.154459188,0.315034655,151.353769738,964,0.843836185,202.378445748,259.434957537,351.644678822,0.248787799,0.209936147,0,1.000000000,1.000000000,1.000000000,0.000003224,0.000006525,0.000027649,0.111297103,-0.107250824,-0.987982902,0.000000007,0.000000007,0.000000012,0.734239659,0.664025574,-0.141287506,1.000000000,0.401083302,0.079655214,11.051230523,0.033587905,138.470387216,20,113,89,24,0.085026336,207,621,0,0,50,227,160,1056,282869,587662,319168,4,0,2377783
1729,1624181271.157444715,1624181271.257387400,1734,1733,0,1,1,1,1,-66.050082826,-0.819810213,-23.316003048,0.021446730,-0.015043491,0.084895144,0.996045454,1310,355,0.270992366,0.301718322,0.237734360,0.176374126,0.382414317,164.081858343,943,0.852227884,203.280910424,236.738426306,363.631557429,0.252946786,0.215568304,0,1.000000000,1.000000000,1.000000000,0.000003177,0.000006978,0.000027363,0.106723079,-0.098324422,-0.989415227,0.000000006,0.000000007,0.000000010,0.688361890,0.686137526,-0.235315116,1.000000000,0.391043119,0.078525508,11.051059371,0.031970057,139.991691110,20,115,87,28,0.087786260,221,611,0,0,50,216,147,1048,282966,587777,320216,4,0,2377930
1730,1624181271.257442236,1624181271.357308388,1735,1734,0,1,1,1,1,-65.532989119,-0.637581840,-23.250541263,0.021694873,-0.015272842,0.085046554,0.996023673,1272,329,0.258647799,0.292531268,0.222471925,0.160586148,0.403425409,148.667642008,915,0.852793033,201.293843362,226.882416947,352.129364569,0.257967951,0.219993271,0,1.000000000,1.000000000,1.000000000,0.000003308,0.000007513,0.000026412,0.101875595,-0.095335135,-0.990218448,0.000000007,0.000000007,0.000000011,0.768934826,0.638507073,-0.032372071,1.000000000,0.388539220,0.078787150,11.030418648,0.028308404,141.988851975,20,105,84,21,0.082547170,203,611,0,0,50,204,148,1019,283042,587882,321234,4,0,2378078
1731,1624181271.357439756,1624181271.457359552,1736,1735,0,1,1,1,1,-65.037430848,-0.435343268,-23.104559084,0.021291319,-0.009151197,0.084326626,0.996168638,1264,332,0.262658228,0.281024614,0.219062894,0.155743096,0.309486960,134.861492086,917,0.859115083,192.540811572,225.110254402,370.157464754,0.244400516,0.209968170,0,1.000000000,1.000000000,1.000000000,0.000003334,0.000007803,0.000026152,0.121127344,-0.063839233,-0.990582010,0.000000007,0.000000007,0.000000012,0.520084337,0.843256084,-0.135762507,1.000000000,0.378015280,0.079897560,11.035534510,0.028105634,141.962095521,20,121,92,29,0.095727848,204,603,0,0,50,198,138,1005,283150,588003,322239,4,0,2378216
1732,1624181271.457437277,1624181271.557342529,1737,1736,0,1,1,1,1,-64.508751792,-0.258923000,-23.028911486,0.022737273,-0.007919383,0.082750693,0.996279390,1309,360,0.275019099,0.281709639,0.192196663,0.143349316,0.251082488,151.300500359,937,0.857893513,175.702715169,240.346465835,387.797040616,0.218577522,0.187516238,0,1.000000000,1.000000000,1.000000000,0.000003167,0.000007311,0.000027624,0.130109382,-0.061441040,-0.989594133,0.000000006,0.000000008,0.000000015,0.696889547,0.710041830,-0.100923531,1.000000000,0.368655848,0.073940480,11.044441197,0.029988489,142.628541958,20,122,95,27,0.093200917,225,595,0,0,50,236,131,1056,283257,588125,323295,4,0,2378347
1733,1624181271.557434797,1624181271.657321215,1738,1737,0,1,1,1,1,-63.980518825,-0.063522105,-22.963143606,0.022755693,-0.011962080,0.083419299,0.996182869,1263,356,0.281868567,0.260490973,0.185805674,0.125369824,0.245469240,137.478803297,937,0.851576018,172.056451722,230.039198875,395.831078084,0.215629387,0.183624815,0,1.000000000,1.000000000,1.000000000,0.000003157,0.000007485,0.000028289,0.128583807,-0.062594930,-0.989721213,0.000000006,0.000000007,0.000000013,0.578729609,0.809023190,-0.102730317,1.000000000,0.359673812,0.078405607,11.045745897,0.027807795,143.293387799,20,123,110,13,0.097387173,205,582,0,0,50,197,155,985,283347,588248,324279,4,0,2378502
1734,1624181271.657432556,1624181271.757395506,1739,1738,0,1,1,1,1,-63.453060748,0.138232162,-22.923099979,0.023377491,-0.013034864,0.083591366,0.996140587,1303,361,0.277052955,0.254989223,0.182154252,0.122993646,0.289613189,119.653976196,923,0.852402411,178.846278124,219.926046008,387.995101159,0.227317848,0.193766282,0,1.000000000,1.000000000,1.000000000,0.000003114,0.000007889,0.000025584,0.145457500,-0.047805059,-0.988208881,0.000000006,0.000000007,0.000000015,0.494786801,0.856696438,-0.145798609,1.000000000,0.352469095,0.081639523,11.066827317,0.026142922,143.425584234,20,120,93,27,0.092095165,206,584,0,0,50,234,159,1024,283445,588368,325303,4,0,2378661
1735,1624181271.757430077,1624181271.857418060,1740,1739,0,1,1,1,1,-62.952332096,0.297272319,-22.899088609,0.024007602,-0.016141930,0.082820335,0.996144500,1252,360,0.287539936,0.259442071,0.187402045,0.134608158,0.350935366,133.623489075,914,0.854429035,197.857048900,226.884747610,356.206341892,0.253354915,0.216473795,0,1.000000000,1.000000000,1.000000000,0.000003020,0.000008663,0.000023354,0.139573167,-0.024875503,-0.989899258,0.000000006,0.000000006,0.000000013,0.766730078,0.626363802,-0.140688933,1.000000000,0.348074449,0.061663688,11.011176705,0.025449976,142.789661648,20,121,95,26,0.096645367,204,576,0,0,50,184,165,966,283538,588489,326267,4,0,2378826
1736,1624181271.857427597,1624181271.957346916,1741,1740,0,1,1,1,1,-62.427289069,0.433519036,-22.850908787,0.025001359,-0.020595219,0.083719220,0.995962781,1309,355,0.271199389,0.269559040,0.210437478,0.140207568,0.328167825,121.142869049,943,0.850415447,199.502333838,244.918227781,357.521205332,0.248774091,0.211561330,0,1.000000000,1.000000000,1.000000000,0.000003184,0.000008983,0.000022447,0.133834134,0.029013745,-0.990578935,0.000000006,0.000000008,0.000000012,0.706050760,0.672619938,-0.221528200,1.000000000,0.346445862,0.061418011,10.959714511,0.024119134,142.715172156,20,104,75,29,0.079449962,206,602,0,0,50,217,180,1025,283625,588593,327292,4,0,2379006
1737,1624181271.957425117,1624181272.057267427,1742,1741,0,1,1,1,1,-61.944851076,0.611947773,-22.763329761,0.026710196,-0.018997617,0.082011494,0.996092250,1356,398,0.293510324,0.281012927,0.213891460,0.150928079,0.312703146,119.861098981,1022,0.856779255,219.107892084,248.665914034,407.854592210,0.250229312,0.214391284,0,1.000000000,1.000000000,1.000000000,0.000002882,0.000008352,0.000021353,0.114985139,-0.012611461,-0.993287153,0.000000006,0.000000007,0.000000010,0.680988650,0.718294960,-0.142501964,1.000000000,0.339972307,0.055886220,10.902389094,0.026153169,142.426023052,20,105,79,26,0.077433628,244,647,0,0,50,183,177,1074,283705,588698,328366,4,0,2379183
1738,1624181272.057422638,1624181272.157216072,1743,1742,0,1,1,1,1,-61.493581660,0.774285356,-22.754384272,0.026473846,-0.017312535,0.083067426,0.996041773,1352,399,0.295118343,0.286086588,0.217386060,0.150612966,0.324479724,149.996151645,1030,0.853613275,221.099215539,236.757414957,421.365042940,0.251471526,0.214659433,0,1.000000000,1.000000000,1.000000000,0.000002693,0.000008159,0.000022025,0.102227274,-0.008026761,-0.994728684,0.000000005,0.000000006,0.000000010,0.685997294,0.671612957,-0.279899531,1.000000000,0.339338010,0.055918858,10.806304739,0.027919987,143.414287893,20,102,83,19,0.075443787,247,632,0,0,50,187,182,1068,283792,588800,329432,4,0,2379365
1739,1624181272.157420397,1624181272.257209539,1744,1743,0,1,1,1,1,-61.027769970,0.922515470,-22.799966866,0.025734322,-0.012274941,0.083115719,0.996131943,1416,440,0.310734463,0.261343265,0.207390694,0.156045179,0.307366256,133.613127770,1071,0.853469863,219.608852908,252.438763476,442.018607356,0.240254860,0.205050283,0,1.000000000,1.000000000,1.000000000,0.000002483,0.000007870,0.000021151,0.116436254,-0.048019517,-0.992036655,0.000000005,0.000000006,0.000000011,0.697617149,0.709884944,-0.096920995,1.000000000,0.333357039,0.055414129,10.749897294,0.025110165,143.352262937,20,124,107,17,0.087570621,246,644,0,0,50,177,223,1069,283884,588924,330499,4,0,2379588
1740,1624181272.257417917,1624181272.357224226,1745,1744,0,1,1,1,1,-60.558774699,1.127906058,-22.741419868,0.025836843,-0.007747284,0.083057812,0.996179621,1386,427,0.308080808,0.265606443,0.192217138,0.128174072,0.336561954,123.319987206,1058,0.859602826,226.498862957,263.148029568,419.812897794,0.249047693,0.214082101,0,1.000000000,1.000000000,1.000000000,0.000002548,0.000007250,0.000019271,0.126255561,-0.059952786,-0.990184426,0.000000004,0.000000006,0.000000012,0.675826075,0.725175327,-0.131832701,1.000000000,0.330462838,0.050170257,10.679925827,0.023677706,141.872454211,20,120,94,26,0.086580087,265,653,0,0,50,166,180,1086,283985,589044,331583,4,0,2379768
1741,1624181272.357415438,1624181272.457334518,1746,1745,0,1,1,1,1,-60.065447845,1.334584604,-22.719307015,0.026731349,-0.002122089,0.082369973,0.996240995,1228,370,0.301302932,0.290132411,0.212203039,0.146161655,0.257220990,115.429253220,942,0.854917228,184.337120284,234.084004319,386.910903781,0.228895802,0.195686964,0,1.000000000,1.000000000,1.000000000,0.000002821,0.000007282,0.000019241,0.121283109,-0.051673387,-0.991272046,0.000000006,0.000000007,0.000000012,0.750682947,0.660650349,-0.004028588,1.000000000,0.320723333,0.048481213,10.580516410,0.022197523,140.189963276,20,104,80,24,0.084690554,232,596,0,0,50,132,161,963,284063,589148,332543,4,0,2379929
1742,1624181272.457412958,1624181272.557421923,1747,1746,0,1,1,1,1,-59.531976542,1.505292519,-22.712848066,0.031761987,0.007775174,0.084090293,0.995921455,1269,417,0.328605201,0.291330350,0.228267707,0.157131500,0.205065633,114.020663127,995,0.857667987,172.601643282,249.508863079,431.269140813,0.202256573,0.173468988,0,1.000000000,1.000000000,1.000000000,0.000002630,0.000006804,0.000020851,0.104167402,-0.045695685,-0.993509465,0.000000007,0.000000008,0.000000011,0.514315307,0.844702412,-0.148180970,1.000000000,0.308799623,0.049186350,10.542130055,0.025026919,137.747039085,20,128,96,32,0.100866824,253,616,0,0,50,118,152,989,284165,589276,333530,4,0,2380081
1743,1624181272.557410479,1624181272.657386303,1748,1747,0,1,1,1,1,-59.004418313,1.689312601,-22.782354422,0.032042050,0.011111160,0.084557937,0.995841255,1252,424,0.338658147,0.271670422,0.195546767,0.133292924,0.297203644,131.250158897,1007,0.861230589,200.607947772,247.659053977,418.992201455,0.231312561,0.199213454,0,1.000000000,1.000000000,1.000000000,0.000002640,0.000007063,0.000021219,0.105002584,-0.048142211,-0.993305987,0.000000005,0.000000005,0.000000012,0.732003922,0.672439978,-0.109520475,1.000000000,0.303596080,0.049237349,10.472532097,0.025836310,136.105967654,20,128,110,18,0.102236422,253,607,0,0,50,91,171,953,284266,589404,334481,4,0,2380252
1744,1624181272.657408237,1624181272.757340908,1749,1748,0,1,1,1,1,-58.453744396,1.912884100,-22.843396372,0.031842730,0.013611676,0.082231143,0.996011447,1166,376,0.322469983,0.254363704,0.186514982,0.122809709,0.193296435,130.393051832,944,0.856409261,169.738339469,258.216320038,380.495682828,0.209955183,0.179807563,0,1.000000000,1.000000000,1.000000000,0.000002965,0.000006745,0.000023816,0.095777294,-0.072218017,-0.992779567,0.000000006,0.000000009,0.000000014,0.519783031,0.852107744,-0.061139132,1.000000000,0.297477512,0.052580806,10.452623596,0.029842828,135.528178165,20,111,80,31,0.095197256,220,600,0,0,50,82,152,903,284355,589515,335383,4,0,2380404
1745,1624181272.757405758,1624181272.857219458,1750,1749,0,1,1,1,1,-57.901456936,2.123351356,-22.930935919,0.031265832,0.019441116,0.082151934,0.995939532,1177,409,0.347493628,0.255868695,0.183743409,0.123902874,0.231315822,134.339423675,937,0.859042274,159.952703348,247.089692480,397.880214893,0.198718114,0.170707261,0,1.000000000,1.000000000,1.000000000,0.000002753,0.000006647,0.000023993,0.095145835,-0.077295443,-0.992457901,0.000000005,0.000000006,0.000000014,0.783843506,0.620382051,-0.026748263,1.000000000,0.294644016,0.054753390,10.459086470,0.029119738,134.871393053,20,118,93,25,0.100254885,243,577,0,0,50,69,166,893,284449,589633,336272,4,0,2380570
1746,1624181272.857403278,1624181272.957119942,1751,1750,0,1,1,1,1,-57.357363842,2.314253293,-23.078965418,0.031061754,0.019650689,0.082658590,0.995899882,1256,480,0.382165605,0.252432085,0.181478532,0.133249853,0.174025969,111.167640700,1011,0.862460094,159.643944205,258.027236117,454.275974683,0.183089013,0.157906968,0,1.000000000,1.000000000,1.000000000,0.000002465,0.000006071,0.000022664,0.088201482,-0.084747694,-0.992490971,0.000000006,0.000000007,0.000000013,0.707537338,0.706597837,0.010507658,1.000000000,0.289378238,0.053711408,10.477450354,0.029460429,133.146033943,20,144,118,26,0.114649682,274,572,0,0,50,87,176,936,284553,589777,337205,4,0,2380746
1747,1624181272.957400799,1624181273.057232141,1752,1751,0,1,1,1,1,-56.802935531,2.499838469,-23.230278477,0.029488589,0.019818657,0.085213515,0.995729030,1194,444,0.371859296,0.231366591,0.144594421,0.113054246,0.191154898,104.540904548,986,0.860654302,149.499612746,268.449435364,430.656093239,0.176170996,0.151622325,0,1.000000000,1.000000000,1.000000000,0.000002721,0.000005705,0.000020931,0.107625866,-0.087001566,-0.990377403,0.000000005,0.000000007,0.000000015,0.591435223,0.803315801,-0.069914960,1.000000000,0.285301196,0.062772083,10.490305267,0.032710376,131.504793088,20,153,123,30,0.128140704,215,560,0,0,50,66,200,841,284664,589930,338046,4,0,2380946
1748,1624181273.057398319,1624181273.157302380,1753,1752,0,1,1,1,1,-56.250882873,2.693904462,-23.312632464,0.029737217,0.017887848,0.085748769,0.995712243,1167,442,0.378748929,0.212002633,0.123922334,0.097605944,0.213550755,96.658632645,961,0.853642533,155.336864385,259.883962742,405.129646714,0.189354269,0.161640858,0,1.000000000,1.000000000,1.000000000,0.000002901,0.000005490,0.000018478,0.134761603,-0.099093255,-0.985910664,0.000000005,0.000000007,0.000000015,0.568194250,0.819692192,-0.072525884,1.000000000,0.280227001,0.079423768,10.524432514,0.033582170,128.770036233,20,134,115,19,0.114824336,196,556,0,0,50,53,228,805,284752,590064,338851,4,0,2381174
1749,1624181273.157396078,1624181273.257394314,1754,1753,0,1,1,1,1,-55.683022989,2.865061913,-23.360488957,0.028907854,0.012217297,0.085022000,0.995884699,1158,429,0.370466321,0.212721655,0.137133022,0.099776414,0.229452374,99.407833809,940,0.856016249,150.705054566,262.950849084,390.999370616,0.187291452,0.160324526,0,1.000000000,1.000000000,1.000000000,0.000003028,0.000005269,0.000017237,0.165475013,-0.136457285,-0.976727920,0.000000005,0.000000006,0.000000016,0.539944558,0.839102285,-0.066085017,1.000000000,0.272578904,0.087105655,10.567295610,0.035145279,125.536335006,20,132,111,21,0.113989637,201,554,0,0,50,64,207,819,284847,590196,339670,4,0,2381381
1750,1624181273.257393599,1624181273.357408285,1755,1754,0,1,1,1,1,-55.129432394,3.042071802,-23.341970185,0.028252731,0.007299547,0.084825515,0.995968439,1221,478,0.391482391,0.232907922,0.148151388,0.108767408,0.218598299,94.424135298,1004,0.867634284,169.986965986,249.942203531,451.175651159,0.195139508,0.169309727,0,1.000000000,1.000000000,1.000000000,0.000002626,0.000005195,0.000016036,0.127164165,-0.143984006,-0.981375505,0.000000005,0.000000005,0.000000011,0.544203891,0.838935510,0.005416160,1.000000000,0.263337548,0.087639623,10.594004389,0.034638251,122.824159671,20,141,118,23,0.115479115,247,567,0,0,50,76,190,890,284948,590337,340560,4,0,2381571
1751,1624181273.357391119,1624181273.457394361,1756,1755,0,1,1,1,1,-54.595984458,3.204511115,-23.372848711,0.027628347,0.003014236,0.083589918,0.996112601,1211,456,0.376548307,0.224548830,0.152600633,0.116755605,0.272743846,94.301504155,995,0.846507035,180.518080941,254.876099693,406.880319421,0.214322149,0.181425207,0,1.000000000,1.000000000,1.000000000,0.000002563,0.000005030,0.000015269,0.132644017,-0.120996334,-0.983750706,0.000000005,0.000000005,0.000000011,0.540141717,0.823670197,-0.172668271,1.000000000,0.261500393,0.091488367,10.590042070,0.034223906,120.796160274,20,145,117,28,0.119735756,230,556,0,0,50,65,214,852,285048,590482,341411,4,0,2381785
1752,1624181273.457388639,1624181273.557396173,1757,1756,0,1,1,1,1,-54.128996536,3.409605542,-23.341750853,0.027887337,-0.001496114,0.084173347,0.996059690,1285,475,0.369649805,0.253348091,0.178454974,0.119567431,0.288646216,91.450008662,1062,0.852051083,194.193215342,283.973417336,426.711617622,0.214607010,0.182856135,0,1.000000000,1.000000000,1.000000000,0.000002577,0.000004950,0.000013864,0.120359724,-0.100883009,-0.987591087,0.000000004,0.000000005,0.000000009,0.540624196,0.836392082,-0.090408872,1.000000000,0.263378579,0.089429946,10.533987540,0.033965164,117.803635689,20,137,106,31,0.106614786,268,620,0,0,50,64,196,952,285145,590619,342363,4,0,2381981
1753,1624181273.557386160,1624181273.657323599,1758,1757,0,1,1,1,1,-53.624017623,3.621152481,-23.432479396,0.023758347,-0.004446049,0.084152402,0.996159699,1329,498,0.374717833,0.221079421,0.132185284,0.092146817,0.203803809,116.338234573,1088,0.861513258,177.502007223,310.093830809,449.730586953,0.189370536,0.163145227,0,1.000000000,1.000000000,1.000000000,0.000002538,0.000004708,0.000015588,0.118779839,-0.102491096,-0.987616791,0.000000004,0.000000005,0.000000013,0.687239844,0.726379241,-0.008636856,1.000000000,0.261295308,0.094839950,10.522808614,0.033825520,116.746607253,20,156,133,23,0.117381490,236,623,0,0,50,73,240,933,285266,590775,343295,4,0,2382221
1754,1624181273.657383680,1624181273.757230282,1759,1758,0,1,1,1,1,-53.214581539,3.781860138,-23.470932370,0.016038921,0.002593678,0.083877571,0.996343605,1343,442,0.329113924,0.245830878,0.185930759,0.108707157,0.173704409,114.413182656,1101,0.848474890,170.633072938,304.714819484,458.822961351,0.182657243,0.154980084,0,1.000000000,1.000000000,1.000000000,0.000002466,0.000005755,0.000017850,0.105867165,-0.073361459,-0.991670429,0.000000006,0.000000008,0.000000014,0.841476549,0.534466642,-0.079136763,1.000000000,0.255499868,0.095269423,10.438405390,0.032373375,116.484567576,20,116,94,22,0.086373790,264,685,0,0,50,82,193,1034,285353,590891,344326,4,0,2382414
